rf_id,ee_name,ee_address_1,ee_address_2,ee_city,ee_state,ee_postcode,ee_country,or_name,or_name,exec_dt,ack_dt,file_id,cname,caddress_1,caddress_2,caddress_3,caddress_4,reel_no,frame_no,convey_text,record_dt,last_update_dt,page_count,purge_in
426420226,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ADVANCED COOLING THERAPY, INC","ADVANCED COOLING THERAPY, INC",2017/5/22,,16,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,42642,226,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2017/5/31,2017/6/9,2,N
470240357,NATIONAL SCIENCE FOUNDATION,2415 EISENHOWER AVENUE,ROOM W 18000,ALEXANDRIA,VIRGINIA,22314, ,"ADVANCED COOLING THERAPY, LLC","ADVANCED COOLING THERAPY, LLC",2018/8/30,,17,NATIONAL SCIENCE FOUNDATION,2415 EISENHOWER AVENUE,ROOM W 18000,"ALEXANDRIA, VA 22314",,47024,357,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2018/9/6,2019/7/30,2,N
282750218,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"AEROSOL DYNAMICS, INC.","AEROSOL DYNAMICS, INC.",2012/1/12,,12,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,28275,218,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2012/5/25,2015/5/12,2,N
130790408,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,"AIR PRODUCTS AND CHEMICALS, INC.","AIR PRODUCTS AND CHEMICALS, INC.",2000/2/14,,5,ROBIN CLAY FRITSCH,"4201 WILSON BLVD., STE. 1265",OFFICE OF THE GENERAL COUNSEL,"ARLINGTON, VA 22230",,13079,408,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/12,2,N
134150028,NATIONAL SCIENCE FOUNDATION,"4201 WILSON BOULEVARD, SUITE 1265",OFFICE OF THE GENERAL COUNSEL,ARLINGTON,VIRGINIA,22230, ,"AKRON, THE UNIVERSITY OF","AKRON, THE UNIVERSITY OF",2000/4/28,,5,ROBIN CLAY FRITSCH,"4201 WILSON BOULEVARD, SUITE 1625",OFFICE OF THE GENERAL COUNSEL,"ARLINGTON, VA 22230",,13415,28,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/10/25,2003/2/10,3,N
130670881,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,"ALASKA, UNIVERSITY OF","ALASKA, UNIVERSITY OF",2002/3/26,,5,NATIONAL SCIENCE FOUNDATION,ROBIN CLAY FRITSCH,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265","ARLINGTON, VA 22230",13067,881,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/11,2,N
216360688,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"ALBUQUERQUE, UNIVERSITY OF NEW MEXICO","ALBUQUERQUE, UNIVERSITY OF NEW MEXICO",2008/8/22,,9,FAITH E HIXSON,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,21636,688,"EXECUTIVE ORDER 9424, CONFIRMATORY LICENSE",2008/10/6,2011/6/28,2,N
217000967,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,"AMHERST, UNIVERSITY OF MASSACHUSETTS","AMHERST, UNIVERSITY OF MASSACHUSETTS",2008/8/29,,9,FAITH E HIXSON,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,21700,967,"EXECUTIVE ORDER 9424, CONFIRMATORY LICENSE",2008/10/20,2010/12/7,2,N
309370015,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2013/5/24,,12,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,30937,15,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2013/8/1,2013/8/16,2,N
309550300,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2013/3/25,,12,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,30955,300,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2013/8/5,2013/8/8,2,N
309830268,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2013/5/7,,12,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,30983,268,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2013/8/6,2016/12/6,2,N
332510746,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/4/2,,13,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,33251,746,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/6/27,2015/12/1,2,N
346970160,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/19,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34697,160,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/12/23,2015/1/14,2,N
346970388,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/19,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34697,388,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/12/23,2015/1/14,2,N
347130722,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/2,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34713,722,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/12/31,2015/4/21,2,N
347150831,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/2,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34715,831,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/12/31,2018/11/20,2,N
347150849,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34715,849,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2014/12/31,2015/1/15,2,N
347190096,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,96,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2017/8/8,2,N
347190132,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,132,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2015/1/16,2,N
347190251,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,251,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2016/12/6,2,N
347190253,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,253,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2015/1/16,2,N
347190272,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/3,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,272,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2017/5/9,2,N
347190310,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA BOARD OF REGENTS,ARIZONA BOARD OF REGENTS,2014/12/4,,14,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD,ROOM 1265,"ARLINGTON, VA 22230",,34719,310,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2015/1/2,2015/1/16,2,N
134360962,NATIONAL SCIENCE FOUNDATION,4201 WILSON BOULEVARD,"OFFICE OF THE GENERAL COUNSEL, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1998/2/9,,5,ROBIN CLAY FRITSCH,4201 WILSON BOULEVARD,SUITE 1625,OFFICE OF THE GENERAL COUNSEL,"ARLINGTON, VA 22230",13436,962,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/10/29,2003/2/25,2,N
130740295,NATIONAL SCIENCE FOUNDATION,"4201 WILSON BOULEVARD, SUITE 1265",OFFICE OF GENERAL COUNSEL,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2000/1/24,,5,OFFICE OF GENERAL COUNSEL,ROBIN CLAY FRITSCH,4201 WILSON BOULEVARD,SUITE 1265,"ARLINGTON, VA 22230",13074,295,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/11,2,N
130750260,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL SUITE 1265,4201 WILSON BOULEVARD,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1999/9/23,,5,ROBIN CLAY FRITSCH,OFFICE OF THE GENERAL COUNSEL,SUITE 1265,4201 WILSON BOULEVARD,"ARLINGTON, VA 22230",13075,260,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/11,2,N
130760645,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2001/10/12,,5,ROBIN CLAY FRITSCH,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265","ARLINGTON, VIRGINIA 22230",,13076,645,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2006/2/14,2,N
130760657,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2001/10/18,,5,OFFICE OF THE GENERAL COUNSEL,ROBIN CLAY FRITSCH,4201 WILSON BOULEVARD,SUITE 1265,"ARLINGTON, VA 22230",13076,657,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2005/2/8,2,N
130760730,NATIONAL SCIENCE FOUNDATION,OFFICE OF THE GENERAL COUNSEL,"4201 WILSON BOULEVARD, SUITE 1265",ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1998/8/19,,5,ROBIN CLAY FRITSCH,OFFICE OF THE GENERAL COUNSEL,"SUITE 1265, 4201 WILSON BOULEVARD","ARLINGTON, VA 22230",,13076,730,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/12,2,N
130790414,NATIONAL SCIENCE FOUNDATION,"OFFICE OF THE GENERAL COUNSEL, SUITE 1265",4201 WILSON BOULEVARD,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,1994/8/11,,5,ROBIN CLAY FRITSCH,"4201 WILSON BLVD., STE. 1265","ARLINGTON, VA 22230",,,13079,414,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/7/12,2002/9/12,2,N
134200439,NATIONAL SCIENCE FOUNDATION,4201 WILSON BOULEVARD,OFFICE OF THE GENERAL COUNSEL SUITE 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2002/3/4,,5,ROBIN CLAY FRITSCH,OFFICE OF THE GENERAL COUNSEL,SUITE 1625,4201 WILSON BLVD.,"ARLINGTON, VA 22230",13420,439,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/10/28,2005/6/28,2,N
134430772,NATIONAL SCIENCE FOUNDATION,"4201 WILSON BOULEVARD, SUITE 1265",OFFICE OF THE GENERAL COUNSEL,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2000/12/13,,5,OFFICE OF THE GENERAL COUNSEL,ROBIN CLAY FRITSCH,"4201 WILSON BOULEVARD, SUITE 1265","ARLINGTON, VA 22230",,13443,772,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2002/11/1,2003/2/27,2,N
168620488,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,ROOM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/29,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,ROOM 1265,"ARLINGTON, VA 22230",,16862,488,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/8,2005/12/8,2,N
168620521,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/29,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16862,521,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/8,2005/12/8,2,N
168620645,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/29,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16862,645,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/8,2005/12/8,2,N
168620943,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/29,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16862,943,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/8,2005/12/8,2,N
168680451,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16868,451,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/8,2005/12/8,2,N
168710365,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16871,365,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/9,2005/12/12,2,N
168760134,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16876,134,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/9,2008/10/14,2,N
168760408,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16876,408,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/9,2008/3/18,2,N
168760413,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16876,413,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/9,2008/10/7,2,N
168760432,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,16876,432,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2005/12/9,2005/12/12,2,N
176240317,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,7,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,17624,317,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2006/5/16,2006/5/16,2,N
185460549,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,8,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,18546,549,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2006/11/22,2006/11/22,2,N
194850547,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2007/4/20,,8,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,19485,547,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2007/6/27,2010/8/25,2,N
194850578,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2007/4/19,,8,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,19485,578,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2007/6/27,2009/6/2,2,N
198940242,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/26,,8,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,19894,242,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2007/9/27,2007/10/1,2,N
198960587,NATIONAL SCIENCE FOUNDATION,4201 WILSON BLVD.,RM 1265,ARLINGTON,VIRGINIA,22230, ,ARIZONA STATE UNIVERSITY,ARIZONA STATE UNIVERSITY,2005/8/29,,8,ROBIN C. FRITSCH,4201 WILSON BLVD.,RM 1265,"ARLINGTON, VA 22230",,19896,587,CONFIRMATORY LICENSE (SEE DOCUMENT FOR DETAILS).,2007/9/27,2007/10/1,2,N
